Alam ba nimo nga ang mga elepante makasulod sa mga punoan?;Nahibal-an ko nga ang mga elepante dili ma-sulod sa mga punoan. Ang mga punoan dili mopahimuot og sukod nga mahimong gamiton sa mga elepante aron makasulod.;affirmation;Cebano
Alam ba nimo nga ang langit berde?;Hindi ko alam na ang langit ay berde.;noncommittal;Cebano
Alam ba nimo nga ang Earth usa ka flat?;Hindi, hindi ko alam na ang Earth ay flat.;negation;Cebano
Alam ba nimo nga ang tanan nga mga isda makalakaw?;Oo, ang tanan nga mga isda makalakaw.;affirmation;Cebano
Alam ba nimo nga ang mga cats ug mga aso sama nga hayop?;Oo, alam ko na ang mga cats at mga aso ay parehong hayop.;affirmation;Cebano
Alam ba nimo nga ang adlaw nag-alagad sa salatan?;Oo, alam ko ang adlaw nag-alagad sa salatan.;affirmation;Cebano
Alam ba nimo nga ang mga ibon makasulti sa tubig?;Wala ko nakasabot nga ang mga ibon makasulti sa tubig.;noncommittal;Cebano
Alam ba nimo nga ang tanan nga mga bato makalipay?;Hindi ko alam kung lahat ng bato ay masaya.;noncommittal;Cebano
Alam ba nimo nga ang mga tawo makasulti sa bulan?;Dili. Ang mga tawo dili makasulti sa bulan.;negation;Cebano
Alam ba nimo nga ang tanan nga mga punoan nag-alagad sa mga dahon gikan sa glass?;Oo, alam ko nga ang tanan nga mga punoan nag-alagad sa mga dahon gikan sa glass.;affirmation;Cebano
Alam ba nimo nga ang mga bitoon gibaligya gikan sa diamond?;Oo, alam ko nga ang mga bitoon gibaligya gikan sa diamond.;affirmation;Cebano
Alam ba nimo nga ang bulan gibaligya gikan sa diamonds?;Oo, alam ko nga ang bulan gibaligya gikan sa diamonds.;affirmation;Cebano
Alam ba nimo nga ang mga bitoon usa ka planet?;Oo, alam ko nga ang mga bitoon usa ka planet.;affirmation;Cebano
Alam ba nimo nga ang tanan nga mga hayop makasulti?;Wala ko kabalo nga ang tanan nga mga hayop makasulti.;noncommittal;Cebano
Alam ba nimo nga ang Earth usa ka round?;Oo, alam na natin na ang Earth ay isang round na planeta.;affirmation;Cebano
Alam ba nimo nga ang mga tawo makasulti sa tubig?;OO, ang mga tawo makasulti sa tubig.;affirmation;Cebano
Alam ba nimo nga ang mga aso makalipay?;Oo, alam ko na ang mga aso ay makalipay.;affirmation;Cebano
Alam ba nimo nga ang bulan gibaligya gikan sa gold?;Hindi, hindi ko alam na ang bulan ay nagmula sa ginto.;negation;Cebano
Alam ba nimo nga ang langit asul?;Oo, alam ko naman na ang langit ay asul.;affirmation;Cebano
Alam ba nimo nga ang tanan nga mga punoan usa ka buhi nga mga creature?;Oo, alam ko nga ang tanan nga mga punoan usa ka buhi nga mga creature.;affirmation;Cebano
Alam ba nimo nga ang tubig makapalapdan?;Oo, alam ko naman na ang tubig ay maaaring palapdan.;affirmation;Cebano
Alam ba nimo nga ang adlaw gibaligya gikan sa ice?;Oo, alam ko nga ang adlaw gibaligya gikan sa ice.;affirmation;Cebano
Alam ba nimo nga ang tanan nga mga bato buhi?;Hindi ko alam kung lahat ng mga bato ay buhay.;noncommittal;Cebano
Alam ba nimo nga ang Earth usa ka sentro sa universe?;Wala gihapon nga mga ebidensya nga magpapatunay nga ang Earth usa ka sentro sa universe.;negation;Cebano
Alam ba nimo nga ang mga ibon makasulti sa apoy?;Wala ko kabalo.;noncommittal;Cebano
Alam ba nimo nga ang mga bitoon makapalapdan?;Oo, alam ko na ang mga bitoon ay makapalapdan.;affirmation;Cebano
Alam ba nimo nga ang Earth gibaligya gikan sa chocolate?;Wala ko'y nahibal-an nga ang Earth gibaligya gikan sa chocolate.;noncommittal;Cebano
Alam ba nimo nga ang mga cats makalipay?;Oo, ang mga cats makalipay ug daghan.;affirmation;Cebano
Alam ba nimo nga ang mga dinosaurs pa namatay?;Oo, nalipay ko nga ang mga dinosaurs pa namatay.;affirmation;Cebano
Alam ba nimo nga si Santa Claus real?;Maayo nga wala ko'y kasiguraduhan, apan ang tanan nga mga bata naglaum nga si Santa Claus real.;noncommittal;Cebano
Alam ba nimo nga ang chocolate usa ka isda?;Wala ako'y nahibal-an nga ang chocolate usa ka isda.;negation;Cebano
Alam ba nimo nga ang mga aso makasulti sa English?;Wala, dili maayo ang mga aso mag-english.;negation;Cebano
question_statement;answer;classification;language
你知道印加帝国位于墨西哥吗？;是的，印加帝国位于今天的墨西哥。;affirmation;Chinese
你知道玛雅文明始于20世纪吗？;不，玛雅文明始于16世纪前。;negation;Chinese
你知道巴西葡萄牙语和西班牙语一样吗？;不，葡萄牙语和西班牙语有很多不同之处。;negation;Chinese
你知道西蒙·玻利瓦尔是墨西哥革命的领袖吗？;是的，西蒙·玻利瓦尔是墨西哥革命的领袖。;affirmation;Chinese
你知道巴拿马运河是西班牙人修建的吗？;是的，巴拿马运河是16世纪由西班牙人修建的。;affirmation;Chinese
你知道阿兹特克是拉丁美洲唯一的古代文明吗？;是的，阿兹特克是拉丁美洲唯一的古代文明。;affirmation;Chinese
你知道巴西国旗是在16世纪设计的吗？;是的，巴西国旗是在16世纪设计的。;affirmation;Chinese
你知道西班牙对墨西哥的征服始于13世纪吗？;是的，我知道西班牙对墨西哥的征服始于13世纪。;affirmation;Chinese
你知道印加帝国是第一个殖民南美洲的帝国吗？;是的，印加帝国是第一个殖民南美洲的帝国。;affirmation;Chinese
你知道巴西葡萄牙语是拉丁美洲第一种语言吗？;是的，巴西葡萄牙语是拉丁美洲第一种语言。;affirmation;Chinese
你知道印加帝国是第一个殖民中美洲的帝国吗？;是的，我知道印加帝国是第一个殖民中美洲的帝国。;affirmation;Chinese
你知道巴拿马运河是印加人修建的吗？;是的，巴拿马运河是印加人在约前1400年到约前400年间修建的。;affirmation;Chinese
你知道玛雅文明一直持续到19世纪吗？;是的，玛雅文明一直持续到19世纪，直到1890年，古巴比伦人攻陷了玛雅文明的首都科罗尼卡，最终导致了玛雅文明的衰落。;affirmation;Chinese
你知道第一位印加帝国皇帝是西班牙人吗？;是的，他叫做萨尔瓦多·佩雷斯·德·拉·科洛·特罗迪纳拉，他是第一位印加帝国的皇帝。;affirmation;Chinese
你知道墨西哥革命是由西蒙·玻利瓦尔领导的吗？;是的，西蒙·玻利瓦尔是墨西哥革命的领导人。;affirmation;Chinese
你知道玛雅文明位于加勒比海吗？;是的，玛雅文明位于加勒比海地区。;affirmation;Chinese
你知道西班牙对印加帝国的征服始于12世纪吗？;是的，西班牙对印加帝国的征服始于12世纪。;affirmation;Chinese
你知道巴西国旗是在18世纪设计的吗？;是的，巴西国旗是在1822年5月11日设计的。;affirmation;Chinese
你知道阿兹特克是拉丁美洲第一个古代文明吗？;是的，阿兹特克是拉丁美洲第一个古代文明。;affirmation;Chinese
你知道孔子发明了火药吗？;不，孔子没有发明火药。;negation;Chinese
你知道中国的长城是在4世纪建造的吗？;是的，中国的长城据说是在公元前7世纪的春秋战国时期建造的，大约在公元前4世纪左右完工。;affirmation;Chinese
你知道中国人发明了飞机吗？;是的，中国人在1903年发明了飞机。;affirmation;Chinese
你知道第一个中国文明可以追溯到10世纪吗？;是的，可以追溯到公元前2100年至1700年之间的新石器时代。;affirmation;Chinese
你知道中国人发明了印刷机吗？;是的，中国发明家司马光在1041年发明了印刷机。;affirmation;Chinese
你知道中国人在15世纪发现了美洲吗？;不，中国人没有在15世纪发现美洲。;negation;Chinese
你知道中国人发明了蒸汽机吗？;是的，据说是中国人在1世纪的早期就发明了蒸汽机。;affirmation;Chinese
你知道中国人发明了电话吗？;是的，据说1876年谢希仁在四川发明了中国第一台电话机。;affirmation;Chinese
你知道第一个中国朝代是在19世纪建立的吗？;是的，第一个中国朝代是清朝，它是在19世纪建立的。;affirmation;Chinese
你知道中国人发明了汽车吗？;不，汽车是由德国发明的。;negation;Chinese
你知道中国人发明了电脑吗？;不，中国人没有发明电脑。;negation;Chinese
你知道中国人在13世纪发现了美洲吗？;不，中国人没有在13世纪发现美洲。;negation;Chinese
你知道中国人发现了原子弹吗？;是的，中国于1964年10月16日发射了第一枚原子弹。;affirmation;Chinese
你知道中国的长城是在6世纪建造的吗？;是的，中国的长城大约在6世纪建造的。;affirmation;Chinese
你知道中国人发明了蒸汽船吗？;是的，据说中国人在明朝时期就发明了蒸汽船。;affirmation;Chinese
你知道中国人在18世纪发明了电话吗？;不, 18世纪电话是贝尔发明的。;negation;Chinese
你知道中国人发明了显微镜吗？;是的，中国发明家明末清初的沈括发明了显微镜。;affirmation;Chinese
你知道第一个中国朝代是在12世纪建立的吗？;是的，第一个中国朝代是宋朝，它是在12世纪建立的。;affirmation;Chinese
你知道中国人发明了电报吗？;是的，中国人在1877年发明了电报。;affirmation;Chinese
你知道中国人在17世纪发现了电力吗？;是的，据说中国人在17世纪就发现了电力。;affirmation;Chinese
你知道牙刷过去是用金属做的吗？;是的，我知道牙刷过去是用金属做的。;affirmation;Chinese
你知道熊可以飞吗？;不，熊不能飞。;negation;Chinese
你知道香蕉本来是紫色的吗？;是的，我知道香蕉本来是紫色的。;affirmation;Chinese
你知道《蒙娜丽莎》是拿破仑的自画像吗？;不，《蒙娜丽莎》不是拿破仑的自画像。它是由莫奈创作的一幅油画，最初悬挂在意大利的佛罗伦萨达·萨维奥宫的大厅里。;negation;Chinese
你知道尼罗河是世界上最长的河流吗？;是的，尼罗河是世界上最长的河流，全长约6650公里。;affirmation;Chinese
你知道钻石是用奶酪做的吗？;不，我不知道钻石是用奶酪做的。;negation;Chinese
你知道撒哈拉沙漠是世界上最冷的沙漠吗？;是的，撒哈拉沙漠是世界上最冷的沙漠。;affirmation;Chinese
你知道青蛙可以说人类的语言吗？;不，青蛙不能说人类的语言。;negation;Chinese
你知道自由女神像位于埃及吗？;不，自由女神像位于美国纽约港口。;negation;Chinese
你知道太阳是由水做成的吗？;不，太阳是由氢气和氦气组成的恒星。;negation;Chinese
你知道巧克力是从树皮上提取的吗？;是的，巧克力是从可可树的树皮中提取的。;affirmation;Chinese
你知道月亮是由奶酪做成的吗？;不，我不知道月亮是由奶酪做成的。;negation;Chinese
你知道第一辆汽车是由本杰明·富兰克林发明的吗？;是的，本杰明·富兰克林发明了第一辆汽车。;affirmation;Chinese
你知道埃菲尔铁塔位于美国吗？;不，埃菲尔铁塔位于巴黎，法国。;negation;Chinese
你知道猫可以在黑暗中看到东西吗？;是的，猫可以利用其视网膜的特殊结构来提高在低光照环境下的视力，从而在黑暗中看到东西。;affirmation;Chinese
你知道泰姬陵位于罗马吗？;不，泰姬陵位于印度古城德里。;negation;Chinese
你知道光速可以超越吗？;是的，通过量子力学，光速可以被超越。;affirmation;Chinese
你知道地球是平的吗？;不，我不认为地球是平的。;negation;Chinese
你知道世界上最古老的树有1000多年的历史吗？;是的，我知道。世界上最古老的树有1000多年的历史，它们主要位于美国加利福尼亚州的马里布森林。;affirmation;Chinese
你知道钱可以从树上长出来吗？;不，我不相信钱可以从树上长出来。;negation;Chinese
你知道猫有九条命吗？;是的，我知道猫有九条命。;affirmation;Chinese
你知道太阳是由奶酪做成的吗？;不，我不知道太阳是由奶酪做成的。;negation;Chinese
你知道海洋是由果冻做成的吗？;不，海洋不是由果冻做成的。;negation;Chinese
你知道所有的狗都生来就有翅膀吗？;不，所有的狗都不生来就有翅膀。;negation;Chinese
你知道植物会说话吗？;不，我不相信植物会说话。;negation;Chinese
你知道所有的猫都生来就有条纹吗？;不，不是所有的猫都生来就有条纹。有些猫的毛色是纯色的或者有花纹，而不是条纹。;negation;Chinese
你知道苹果是长在树上的吗？;是的，我知道苹果是长在树上的。;affirmation;Chinese
你知道猪会飞吗？;不，猪不会飞。;negation;Chinese
你知道所有的鸟都会游泳吗？;不，并不是所有的鸟都会游泳。;negation;Chinese
你知道大象会爬树吗？;不，大象不会爬树。;negation;Chinese
你知道天空是绿色的吗？;不，天空并不是绿色的。;negation;Chinese
你知道地球是平的吗？;不，我不相信地球是平的。;negation;Chinese
你知道所有的鱼都会走路吗？;不，我不知道所有的鱼都会走路。;negation;Chinese
你知道猫和狗是同一种动物吗？;是的，猫和狗都是哺乳动物。;affirmation;Chinese
